=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
              Вермонт СН-151 В хром/ХДП/МБ    Excel
                   Верона К-10 В дерево/МБ    Excel
         Кресло UTFC Бремен М-123 алюминий    Excel
     Кресло UTFC Канзас М-111 пластик/хром    Excel
    Кресло UTFC Онтарио М-105 пластик/хром    Excel
Кресло UTFC Онтарио М-405 Н/п пластик/хром    Excel
                       Престиж Нептун хром    Excel
                  Самба Люкс GTP TG/столик    Excel
                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                    СН-710 Айкью Н пластик    Excel
                          СН-710 Айкью Н/п    Excel
                          Стул кассира Б/п    Excel
                        Честер GTS TG хром    Excel
               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                                     Модель Источник
                       Дэли ch-503 white ch     JSON
                                      Тоник     JSON
                                 Epik е-277     JSON
                              Астек пвм б/п     JSON
                        Комфорт б/п пластик     JSON
                          Логика tg пластик     JSON
                                Престиж cpt     JSON
                               Престиж люкс     JSON
                                Престиж пвм     JSON
                   Самба люкс gtp tg столик     JSON
                   Сириус с-102 нептун хром     JSON
                 Сириус с-102 рондо пластик     JSON
                 Сириус с-102 самба пластик     JSON
                     Фигаро gts к13 tg/хром     JSON
                Фигаро gts к13 пиастра/хром     JSON
                           Айкью сн-710 н_п     JSON
                     Айкью сн-710 н пластик     JSON
                Аляска сн-153 в хром/хдп/мб     JSON
                  Аризона сн-400 в хром/хдп     JSON
   Аризона сн-400 бюджет в пластик-люкс 727     JSON
                      Бремен м-123 алюминий     JSON
               Вермонт сн-151 в хром хдп мб     JSON
                     Гелакси к-49 в хром/мб     JSON
                        Гелакси к-49 в хром     JSON
                           Гермес в пластик     JSON
                              Гермес в хром     JSON
                Дакота сн-251 в пластик 727     JSON
           Дакота сн-251 в пластик-люкс 727     JSON
                       Кайман в топ-ган lux     JSON
Калифорния сн-438 в бюджет пластик-люкс 727     JSON
                   Калифорния в cн-438 хром     JSON
                  Канзас м-111 пластик/хром     JSON
                        Кендо к-41 в дерево     JSON
                       Кендо к-41 в пластик     JSON
                          Кендо к-41 в хром     JSON
                             Надир в дерево     JSON
                   Надир в пластик-люкс 727     JSON
                            Надир в пластик     JSON
                               Надир в хром     JSON
                 Онтарио м-105 пластик/хром     JSON
             Онтарио м-405 н/п пластик/хром     JSON
                                 Ройс м-704     JSON
                    Эфир с-30 в пластик 727     JSON
                              Палермо м-702     JSON
                                      Изо-2     JSON
                                      Изо-3     JSON
                                    Клуб 4l     JSON
                                    Клуб 4к     JSON
                                   Клуб gts     JSON
                                       Клуб     JSON
                        Фигаро к13 н/п хром     JSON
                                  Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                    Кресло UTFC Киото М-250            package_width                  -            745               Да
                    Кресло UTFC Киото М-250              minpromtorg                  -              -               Да
                    Кресло UTFC Киото М-250                   volume                  -           0.19               Да
                    Кресло UTFC Киото М-250                 skeleton                  -   немонолитный               Да
                    Кресло UTFC Киото М-250           package_height                  -          650.0               Да
                    Кресло UTFC Киото М-250                    netto                  -           16.7               Да
                    Кресло UTFC Киото М-250            package_depth                  -          380.0               Да
                    Кресло UTFC Киото М-250                   brutto                  -          19.15               Да
                    Кресло UTFC Киото М-250            typeofproduct                  -              К               Да
                    Кресло UTFC Киото М-250         recommended_load       min=-, max=-  min=-, max=90               Да
                    Кресло UTFC Киото М-250                 max_load       min=-, max=- min=-, max=120               Да
                    Кресло UTFC Киото М-250            package_width                745          19.15               Да
                    Кресло UTFC Киото М-250            package_depth                380            745               Да
                    Кресло UTFC Киото М-250           package_height                650          380.0               Да
                    Кресло UTFC Киото М-250                   volume               0,19          650.0               Да
                     Кресло UTFC Кофу М-231            package_width                  -            620               Да
                     Кресло UTFC Кофу М-231              minpromtorg                  -              -               Да
                     Кресло UTFC Кофу М-231                   volume                  -           0.11               Да
                     Кресло UTFC Кофу М-231                 skeleton                  -   немонолитный               Да
                     Кресло UTFC Кофу М-231           package_height                  -          600.0               Да
                     Кресло UTFC Кофу М-231                    netto                  -             10               Да
                     Кресло UTFC Кофу М-231            package_depth                  -          290.0               Да
                     Кресло UTFC Кофу М-231                   brutto                  -          10.95               Да
                     Кресло UTFC Кофу М-231            typeofproduct                  -              К               Да
                     Кресло UTFC Кофу М-231         recommended_load       min=-, max=-  min=-, max=90               Да
                     Кресло UTFC Кофу М-231                 max_load       min=-, max=- min=-, max=120               Да
                     Кресло UTFC Кофу М-231            package_width                620          10.95               Да
                     Кресло UTFC Кофу М-231            package_depth                290            620               Да
                     Кресло UTFC Кофу М-231           package_height                600          290.0               Да
                     Кресло UTFC Кофу М-231                   volume               0,11          600.0               Да
                  Кресло UTFC Мориока М-242            package_width                  -            660               Да
                  Кресло UTFC Мориока М-242              minpromtorg                  -              -               Да
                  Кресло UTFC Мориока М-242                   volume                  -           0.11               Да
                  Кресло UTFC Мориока М-242                 skeleton                  -   немонолитный               Да
                  Кресло UTFC Мориока М-242           package_height                  -          590.0               Да
                  Кресло UTFC Мориока М-242                    netto                  -           10.4               Да
                  Кресло UTFC Мориока М-242            package_depth                  -          285.0               Да
                  Кресло UTFC Мориока М-242                   brutto                  -          11.65               Да
                  Кресло UTFC Мориока М-242            typeofproduct                  -              К               Да
                  Кресло UTFC Мориока М-242         recommended_load       min=-, max=-  min=-, max=90               Да
                  Кресло UTFC Мориока М-242                 max_load       min=-, max=- min=-, max=120               Да
                  Кресло UTFC Мориока М-242            package_width                660          11.65               Да
                  Кресло UTFC Мориока М-242            package_depth                285            660               Да
