Название,Основание,Подлокотники,Газлифт,Механизм,Особенности,Ролики
Кресло Астек б/п EG Z01 (белый),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт супердлинный хром (Газ-лифт хромированный 3 категории по стандарту Germany DIN 4550, h=385 мм, L(в открытом состоянии)=705 м)","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья","Кольцо для ног, устанавливается на кресла с высоким газ-лифтом для удобства пользователя. Внешний диаметр 450 мм. Внутренний диаметр соответствует диаметру стандартного газ-лифта.","Глайдеры G — пластиковая опора, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Кремона хром Velutto 03 (бежевый),Пятилучье хромированное d=600 мм,,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло С-21 Шелл GTS белый/хром Ср,Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Стул ИЗО/ЖТС Z11 (черный),Пятилучье пластиковое d=600 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Стар б/п D26-29 (оранжевый),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Овалина — механизм регулировки глубины сиденья (фиксация спинки жесткая),,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-804 Ситро/Citro whitePL хром Ср QH21-1307 (бирюза),Пятилучье хромированное d=640 мм,Монолитная конструкция спинки и подлокотника из белого ударопрочного пластика для кресла Ситро,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло С-109 Манго Люкс Нептун хром D26-28 (черный),Пятилучье хромированное d=600 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло С-21 Шелл GTS белый/черный Ср,Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Кремона пластик Velutto 03 (бежевый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
