fullname,category,article_number,images,Footing,Armrests,Gas_lift,Mechanism,Features,Rollers,Specifications,Extras,Metadata,Link_arm
Кресло С-21 Шелл GTS белый/хром Ср,,shell_gts_ch,https://utfc.ru/upload/resize_cache/iblock/010/140_140_0/90d6q3cf6xfwn7uujeqv9373pnbyekj8.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/010/90d6q3cf6xfwn7uujeqv9373pnbyekj8.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/429/qjle93mw7ng9w6i5ypl7dpha1h68z5jr.webp; https://utfc.ru/upload/resize_cache/iblock/429/140_140_0/qjle93mw7ng9w6i5ypl7dpha1h68z5jr.png; https://utfc.ru/upload/resize_cache/iblock/5e1/140_140_0/oywdv5fkjd15xzoqti30q39fzn85w4og.png; https://utfc.ru/upload/resize_cache/iblock/e1c/140_140_0/n7g819fkjp26sfpj9vrnk4u1f4bpm665.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/5e1/oywdv5fkjd15xzoqti30q39fzn85w4og.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a81/qefrediq0i047aazymk0mfxejy8vty44.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e1c/n7g819fkjp26sfpj9vrnk4u1f4bpm665.webp; https://utfc.ru/upload/resize_cache/iblock/a81/140_140_0/qefrediq0i047aazymk0mfxejy8vty44.png,,,,,,,"{""Размер:"": {""Ширина:"": ""460 мм"", ""Высота:"": ""795-915 мм"", ""Глубина:"": ""495 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""624 мм"", ""Высота упаковки:"": ""665 мм"", ""Глубина упаковки:"": ""322 мм"", ""Вес брутто:"": ""7,9 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""624 мм"", ""Высота упаковки:"": ""665 мм"", ""Глубина упаковки:"": ""322 мм"", ""Вес брутто:"": ""7,9 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/shell_gts_ch/
Кресло Стар б/п D26-29 (оранжевый),,star_bp,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f30/yubx8mvfdr7d1cf0r7r210fp6t5uog21.webp; https://utfc.ru/upload/resize_cache/iblock/a23/140_140_0/qk5uchbt2hu2c4wpgaodxfuyuxqem4fs.png; https://utfc.ru/upload/resize_cache/iblock/f30/140_140_0/yubx8mvfdr7d1cf0r7r210fp6t5uog21.png; https://utfc.ru/upload/resize_cache/iblock/3da/140_140_0/uclmu5zdkviax8dl7261ziu4sax1ja13.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/413/jah9v451diwh87muf97bs3v4ehyds3wt.webp; https://utfc.ru/upload/resize_cache/iblock/413/140_140_0/jah9v451diwh87muf97bs3v4ehyds3wt.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/3da/uclmu5zdkviax8dl7261ziu4sax1ja13.webp; https://utfc.ru/upload/resize_cache/iblock/bb7/140_140_0/r338ukax1ssubf1r3lkg0h6fzt9z77jf.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a23/qk5uchbt2hu2c4wpgaodxfuyuxqem4fs.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/bb7/r338ukax1ssubf1r3lkg0h6fzt9z77jf.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""580 мм"", ""Высота:"": ""780-920 мм"", ""Глубина:"": ""490 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""530 мм"", ""Высота упаковки:"": ""550 мм"", ""Глубина упаковки:"": ""225 мм"", ""Вес брутто:"": ""6,5 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,07 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""530 мм"", ""Высота упаковки:"": ""550 мм"", ""Глубина упаковки:"": ""225 мм"", ""Вес брутто:"": ""6,5 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,07 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/star_bp/
Стул ИЗО/ЖТС + Z11 (черный),,iso_gts+,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a66/a664535fea78b2f0277016a563e4ea41.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/289/289fe7edc06332520ba4036fe08d6902.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/20c/20c4070beab8b9d67503f8f95dd06fa5.webp; https://utfc.ru/upload/resize_cache/iblock/81f/140_140_0/81fd31448d3c98c08f039404403ea703.png; https://utfc.ru/upload/resize_cache/iblock/a66/140_140_0/a664535fea78b2f0277016a563e4ea41.png; https://utfc.ru/upload/resize_cache/iblock/289/140_140_0/289fe7edc06332520ba4036fe08d6902.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/aba/aba3262d79f1cb8c9538eac42f18338d.webp; https://utfc.ru/upload/resize_cache/iblock/20c/140_140_0/20c4070beab8b9d67503f8f95dd06fa5.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/81f/81fd31448d3c98c08f039404403ea703.webp; https://utfc.ru/upload/resize_cache/iblock/aba/140_140_0/aba3262d79f1cb8c9538eac42f18338d.png,,,,,,,"{""Размер:"": {""Ширина:"": ""590 мм"", ""Высота:"": ""795-935 мм"", ""Глубина:"": ""600 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Вес брутто:"": ""10,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Вес брутто:"": ""10,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/iso_gts/
Кресло С-21 Шелл GTS белый/черный Ср,,shell_gts_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/26a/7vmgx1wtdy1z0wwa0wu6n1f65u2egiz0.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b70/nh0ilbsdmlutj86xhlw2pmx74q4vos40.webp; https://utfc.ru/upload/resize_cache/iblock/f0e/140_140_0/nz2rv9nfkjwtavqlas239wj3ztthg0lx.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f0e/nz2rv9nfkjwtavqlas239wj3ztthg0lx.webp; https://utfc.ru/upload/resize_cache/iblock/742/140_140_0/81f4mrftr9icea8mudzfg4m24fynj569.png; https://utfc.ru/upload/resize_cache/iblock/b70/140_140_0/nh0ilbsdmlutj86xhlw2pmx74q4vos40.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/742/81f4mrftr9icea8mudzfg4m24fynj569.webp; https://utfc.ru/upload/resize_cache/iblock/1a8/140_140_0/cvr476rhkkxbft30o2kmjkcrn8d2m2he.png; https://utfc.ru/upload/resize_cache/iblock/26a/140_140_0/7vmgx1wtdy1z0wwa0wu6n1f65u2egiz0.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/1a8/cvr476rhkkxbft30o2kmjkcrn8d2m2he.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""460 мм"", ""Высота:"": ""780-920 мм"", ""Глубина:"": ""495 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""624 мм"", ""Высота упаковки:"": ""665 мм"", ""Глубина упаковки:"": ""322 мм"", ""Вес брутто:"": ""7,2 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""624 мм"", ""Высота упаковки:"": ""665 мм"", ""Глубина упаковки:"": ""322 мм"", ""Вес брутто:"": ""7,2 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/shell_gts_bl/
Кресло С-101 Клио Нептун ПВМ хром Е06-к (синий),,klio_neptun_pvm_ch,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/c1b/xv2bmr2dhq0yxmri9v4r434trwliojzu.webp; https://utfc.ru/upload/resize_cache/iblock/db8/140_140_0/5bu9vhiv2qln3cwxl7rwlxgxjfxmbbqf.png; https://utfc.ru/upload/resize_cache/iblock/300/140_140_0/ef67s92ezk2faqsvkxuttwf13n2hs8xw.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/300/ef67s92ezk2faqsvkxuttwf13n2hs8xw.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/db8/5bu9vhiv2qln3cwxl7rwlxgxjfxmbbqf.webp; https://utfc.ru/upload/resize_cache/iblock/1e5/140_140_0/kllo0tokug8lyfag0jbr3k5uvsc2fhvw.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/bca/8d5c7hrd890g50nhi6pr6mioa6ewuuzx.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/1e5/kllo0tokug8lyfag0jbr3k5uvsc2fhvw.webp; https://utfc.ru/upload/resize_cache/iblock/c1b/140_140_0/xv2bmr2dhq0yxmri9v4r434trwliojzu.png; https://utfc.ru/upload/resize_cache/iblock/bca/140_140_0/8d5c7hrd890g50nhi6pr6mioa6ewuuzx.png,,,,,,,"{""Размер:"": {""Ширина:"": ""690 мм"", ""Высота:"": ""1000-1140 мм"", ""Глубина:"": ""640 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""614 мм"", ""Высота упаковки:"": ""655 мм"", ""Глубина упаковки:"": ""312 мм"", ""Вес брутто:"": ""13,2 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""614 мм"", ""Высота упаковки:"": ""655 мм"", ""Глубина упаковки:"": ""312 мм"", ""Вес брутто:"": ""13,2 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/klio_neptun_pvm_ch/
Стул ИЗО/ЖТС С11 (черный) со столиком,,iso_gts_stolik,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/28a/28a7f8c1232959690d7ec32c1dccd9e2.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/505/5051c1c3cad89e8646e0d3d5c744662c.webp; https://utfc.ru/upload/resize_cache/iblock/1f0/140_140_0/1f03028a8502f9fd483ce314873cd7a5.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/7d2/7d23e4b46bbe3d94f2d83ce5ed2086a5.webp; https://utfc.ru/upload/resize_cache/iblock/505/140_140_0/5051c1c3cad89e8646e0d3d5c744662c.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b4d/b4d01dd95e4e5c26b00c29981b8b4e02.webp; https://utfc.ru/upload/resize_cache/iblock/b4d/140_140_0/b4d01dd95e4e5c26b00c29981b8b4e02.png; https://utfc.ru/upload/resize_cache/iblock/7d2/140_140_0/7d23e4b46bbe3d94f2d83ce5ed2086a5.png; https://utfc.ru/upload/resize_cache/iblock/28a/140_140_0/28a7f8c1232959690d7ec32c1dccd9e2.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/1f0/1f03028a8502f9fd483ce314873cd7a5.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""630 мм"", ""Высота:"": ""795-935 мм"", ""Глубина:"": ""720 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Вес брутто:"": ""10,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Вес брутто:"": ""10,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/iso_gts_stolik/
Кресло М-804 Ситро/Citro whitePL хром Ср QH21-1307 (бирюза),,citro_ch_white,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/442/44260717a1704790e6b0dc6a232f3382.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/63d/63de70c8f27ad663ff950dfb5ca10957.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b47/b478cc70dec6c3dcab0583c3f688908a.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/ce2/ce2628a065d94c959b706c172d4d41c4.webp; https://utfc.ru/upload/resize_cache/iblock/ce2/140_140_0/ce2628a065d94c959b706c172d4d41c4.png; https://utfc.ru/upload/resize_cache/iblock/b47/140_140_0/b478cc70dec6c3dcab0583c3f688908a.png; https://utfc.ru/upload/resize_cache/iblock/63d/140_140_0/63de70c8f27ad663ff950dfb5ca10957.png; https://utfc.ru/upload/resize_cache/iblock/6fd/140_140_0/6fdd3d1eec99b81a25e7109850db5dc1.png; https://utfc.ru/upload/resize_cache/iblock/442/140_140_0/44260717a1704790e6b0dc6a232f3382.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/6fd/6fdd3d1eec99b81a25e7109850db5dc1.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""610 мм"", ""Высота:"": ""950-1050 мм"", ""Глубина:"": ""615 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""760 мм"", ""Высота упаковки:"": ""650 мм"", ""Глубина упаковки:"": ""440 мм"", ""Вес брутто:"": ""10,45 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""760 мм"", ""Высота упаковки:"": ""650 мм"", ""Глубина упаковки:"": ""440 мм"", ""Вес брутто:"": ""10,45 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/citro_ch_white/
Кресло Астек б/п EG Z01 (белый),,astek_bp_eg,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/506/506e8914f19c71c5313e35fdf9503010.webp; https://utfc.ru/upload/resize_cache/iblock/196/140_140_0/196edc7411a57dcb33c4eef3bf8d85ae.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/0e2/0e253c50f9fb62aa80501aca3d1439b7.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/141/14116b6266842e3abd63485f332ffc0b.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a7b/a7b7d78c7a1ecfceacf8565da2ba3d96.webp; https://utfc.ru/upload/resize_cache/iblock/0e2/140_140_0/0e253c50f9fb62aa80501aca3d1439b7.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/196/196edc7411a57dcb33c4eef3bf8d85ae.webp; https://utfc.ru/upload/resize_cache/iblock/a7b/140_140_0/a7b7d78c7a1ecfceacf8565da2ba3d96.png; https://utfc.ru/upload/resize_cache/iblock/141/140_140_0/14116b6266842e3abd63485f332ffc0b.png; https://utfc.ru/upload/resize_cache/iblock/506/140_140_0/506e8914f19c71c5313e35fdf9503010.png,,,,,,,"{""Размер:"": {""Ширина:"": ""470 мм"", ""Высота:"": ""950-1250 мм"", ""Глубина:"": ""550 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""574 мм"", ""Высота упаковки:"": ""574 мм"", ""Глубина упаковки:"": ""252 мм"", ""Вес брутто:"": ""9,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,09 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""574 мм"", ""Высота упаковки:"": ""574 мм"", ""Глубина упаковки:"": ""252 мм"", ""Вес брутто:"": ""9,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,09 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/astek_bp_eg/
Стул ИЗО/ЖТС Z11 (черный),,izo_gts,https://utfc.ru/upload/resize_cache/iblock/88e/140_140_0/wmu6phdcjt4gvluv5dsx8bo8pdc6h8w7.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/88e/wmu6phdcjt4gvluv5dsx8bo8pdc6h8w7.webp; https://utfc.ru/upload/resize_cache/iblock/47d/140_140_0/rdbb9n10qixmfsrxowx2nu7nwp9adm7q.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/6a3/2wegppofskjg9clube2df1rkuu00t10g.webp; https://utfc.ru/upload/resize_cache/iblock/e97/140_140_0/24z3a7zq9m8a595bw29ewwa4s001rbpc.png; https://utfc.ru/upload/resize_cache/iblock/6a3/140_140_0/2wegppofskjg9clube2df1rkuu00t10g.png; https://utfc.ru/upload/resize_cache/iblock/86f/140_140_0/u2m2e4w1gbk62d1aw3o7nlvv3oa531ie.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e97/24z3a7zq9m8a595bw29ewwa4s001rbpc.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/47d/rdbb9n10qixmfsrxowx2nu7nwp9adm7q.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/86f/u2m2e4w1gbk62d1aw3o7nlvv3oa531ie.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""475 мм"", ""Высота:"": ""795-935 мм"", ""Глубина:"": ""600 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""720 мм"", ""Высота упаковки:"": ""290 мм"", ""Глубина упаковки:"": ""590 мм"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,13 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/staff_chairs/izo_gts/
,,,,,,,,,,,,,https://utfc.ru/catalog/
